"prov" "agno" "casos" "esp" "long" "lat"
"430" 30 1983 97 78.0226680472773 -1.49630010993228 38.0192645198754
"431" 31 1983 46 49.7453998958549 -1.62626983258690 42.6731456222013
"432" 32 1983 46 56.5317333855049 -7.57751195701661 42.2058800425114
"433" 33 1983 107 108.151232026811 -5.9826023524122 43.3068393860113
"434" 34 1983 31 21.9177299182534 -4.5244778612837 42.3858592040108
"435" 35 1983 61 42.2805787700084 -14.0808342801231 28.5157089130002
"436" 36 1983 71 68.2245943580002 -8.44460855754943 42.4398016773539
"437" 37 1983 58 49.0001375788589 -6.0589248043088 40.8171845370366
"438" 38 1983 63 47.2343465567686 -16.5420836626214 28.4318722417734
"439" 39 1983 43 46.3404317381553 -4.01407954592847 43.2119867222126
"440" 40 1983 17 20.2108513092218 -4.04852400392879 41.1828032906417
"441" 41 1983 127 100.158300739887 -5.68875708808965 37.448879916972
"442" 42 1983 12 17.3819676777136 -2.58123034319994 41.6308263313168
"443" 43 1983 57 55.9493795492777 0.826785127629588 41.099494777678
"444" 44 1983 19 25.6020843366138 -0.812830844826387 40.6744694945262
"445" 45 1983 43 55.467907169896 -4.14438535984712 39.8056144801947
"446" 46 1983 191 173.341635680178 -0.789648969061416 39.3579240490339
"447" 47 1983 38 39.5395955909067 -4.83269168581912 41.6440757226044
"448" 48 1983 122 81.6931273415532 -2.83223719674931 43.2527888459929
"449" 49 1983 35 33.8229218900977 -5.96472387457858 41.742081055707
"450" 50 1983 74 88.1221399180035 -1.05613701304700 41.6309680140457
"451" 1 1984 20 18.6978220406161 -2.69920255095887 42.8362688079098
"452" 2 1984 39 36.2291766435287 -1.98432704501776 38.8405206642905
"453" 3 1984 94 99.6694783905896 -0.576909403944958 38.4974913538265
"454" 4 1984 39 33.987667153508 -2.35604061514020 37.2133431727737
"455" 5 1984 18 27.1092307204437 -4.93788312937989 40.5815877800085
"456" 6 1984 76 65.9404813698076 -6.13905369866462 38.7256674878886
"457" 7 1984 95 67.5436727809858 2.91946602099717 39.6320217153478
"458" 8 1984 423 378.729926733686 1.99811663925652 41.7469265779753
"459" 9 1984 30 42.782605806735 -3.59134675355039 42.3729704312902
"460" 10 1984 41 47.2958120637412 -6.15535052135614 39.7231926273179
"461" 11 1984 74 58.6904767153147 -5.76468483106548 36.5624969412696
"462" 12 1984 66 50.1649110802499 -0.148039282559446 40.2507348146576
"463" 13 1984 51 49.4159966515631 -3.81339188792 38.9298215736108
"464" 14 1984 78 66.2882709513531 -4.81499528758521 38.0049023897714
"465" 15 1984 109 103.470444405996 -8.45971855216294 43.1280401889178
"466" 16 1984 27 33.3245373847567 -2.19548700715003 39.9086860718255
"467" 17 1984 52 48.9270062791761 2.68708796205338 42.145865652011
"468" 18 1984 70 65.4492586224119 -3.2725162184824 37.3330507124855
"469" 19 1984 20 23.9712351940487 -2.62128556282702 40.8274558690964
"470" 20 1984 47 50.3714117870421 -2.16792853126469 43.1528089188849
"471" 21 1984 29 35.2666567329986 -6.83265276754075 37.5978334583402
"472" 22 1984 43 33.3624055536337 -0.059609139223607 42.2142401605038
"473" 23 1984 48 62.5374438051422 -3.44979781370444 38.0308250493701
"474" 24 1984 57 62.5734679980377 -5.82870631120274 42.634323440999
"475" 25 1984 47 47.3942151208256 1.05797639294180 42.0569667018661
"476" 26 1984 27 27.6246270289808 -2.50129759774743 42.2834647638459
"477" 27 1984 57 65.2258834605151 -7.43968312456498 43.0234823442494
"478" 28 1984 237 330.958385671986 -3.71281962879811 40.5070988091236
"479" 29 1984 97 73.2721741309129 -4.73055642619482 36.8262859308411
"480" 30 1984 72 80.0525336227963 -1.49630010993228 38.0192645198754
"481" 31 1984 50 51.3982328966698 -1.62626983258690 42.6731456222013
"482" 32 1984 48 57.8134523455063 -7.57751195701661 42.2058800425114
"483" 33 1984 105 111.557073479169 -5.9826023524122 43.3068393860113
"484" 34 1984 23 22.5429831205847 -4.5244778612837 42.3858592040108
"485" 35 1984 64 43.6072133756579 -14.0808342801231 28.5157089130002
"486" 36 1984 80 70.4186654778677 -8.44460855754943 42.4398016773539
"487" 37 1984 53 50.5418332537787 -6.0589248043088 40.8171845370366
"488" 38 1984 63 48.940860061433 -16.5420836626214 28.4318722417734
"489" 39 1984 57 48.1825478605626 -4.01407954592847 43.2119867222126
"490" 40 1984 21 20.8550239807385 -4.04852400392879 41.1828032906417
"491" 41 1984 110 103.476874368902 -5.68875708808965 37.448879916972
